City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,dhulikhel,27.6189,85.5529,19.75,96,99,0.35,NP,1722731068
132,zaozersk,69.4005,32.4476,8.37,96,70,2.9,RU,1722731068
133,malango,-2.9627,119.9001,21.29,80,89,0.89,ID,1722730991
134,kerikeri,-35.2268,173.9474,14.39,81,100,4.02,NZ,1722731068
135,sakaiminato,35.55,133.2333,30.99,84,40,2.57,JP,1722731068
136,dunedin,-45.8742,170.5036,8.75,58,82,2.35,NZ,1722730782
137,fortuna,40.5982,-124.1573,16.19,94,100,3.09,US,1722731069
138,peniche,39.3558,-9.3811,20.11,93,0,6.46,PT,1722731069
139,morar,26.2261,78.2261,27.2,82,78,4.46,IN,1722731069
140,borogontsy,62.6683,131.1683,18.69,41,18,1.79,RU,1722731069
141,kendari,-3.945,122.4989,25.27,79,100,1.07,ID,1722731069
142,muravlenko,63.7898,74.523,17.27,87,71,2.44,RU,1722731070
143,anna regina,7.2644,-58.5077,26.96,80,22,2.72,GY,1722731070
144,saint-philippe,-21.3585,55.7679,18.77,75,10,2.01,RE,1722731070
145,jasper,37.2001,-94.3502,32.69,51,85,4.49,US,1722731070
146,enewetak,11.3474,162.3373,28.39,75,92,1.35,MH,1722730944
147,vorgashor,67.5833,63.95,10.69,72,94,7.04,RU,1722730969
148,saquarema,-22.92,-42.5103,21.11,86,1,8.21,BR,1722731070
149,namibe,-15.1961,12.1522,16.76,77,0,3.95,AO,1722731071
150,harper,4.375,-7.7169,23.93,83,100,3.28,LR,1722731071
151,khromtau,50.2503,58.4347,17.39,52,64,4.14,KZ,1722731071
152,weno,7.4515,151.8468,29.97,84,100,2.57,FM,1722731071
153,arraial do cabo,-22.9661,-42.0278,22.32,83,0,11.53,BR,1722730894
154,el calafate,-50.3408,-72.2768,1.39,93,100,0.35,AR,1722731071
155,whitehorse,60.7161,-135.0538,18.43,46,75,3.6,CA,1722730567
156,waitara,-38.925,174.25,14.72,59,92,0.6,NZ,1722731072
157,presidente medici,-11.1753,-61.9014,30.09,33,28,1.41,BR,1722731072
158,kingston,17.997,-76.7936,30.53,74,20,5.66,JM,1722730731
159,klyuchi,52.2667,79.1667,18.54,82,19,3.4,RU,1722730685
160,illizi,26.4833,8.4667,28.89,13,0,2.75,DZ,1722731072
161,bodo,67.28,14.405,18.21,71,75,6.17,NO,1722731072
162,vilyuchinsk,52.9306,158.4028,21.15,66,97,0.81,RU,1722730828
163,taro,-8.3862,115.28,22.0,93,69,0.94,ID,1722730983
164,penzance,50.1186,-5.5371,14.38,73,96,4.01,GB,1722731073
165,ebaye,8.7748,167.7392,30.01,74,0,1.54,MH,1722731073
166,champerico,14.3,-91.9167,25.3,79,91,3.93,GT,1722731073
167,costa rica,-23.4167,-54.65,27.13,28,29,2.61,BR,1722731073
168,greenville,35.6127,-77.3663,28.09,78,100,4.63,US,1722731074
169,hugo,45.16,-92.9933,28.7,58,85,1.34,US,1722731074
170,nasir,15.5894,32.5634,30.19,55,54,5.18,SD,1722731074
171,mana,5.6592,-53.7767,25.99,87,81,3.28,GF,1722731074
172,port macquarie,-31.4333,152.9167,16.61,64,86,0.45,AU,1722731029
173,scottburgh,-30.2867,30.7532,16.0,64,43,3.38,ZA,1722731074
174,atafu village,-8.5421,-172.5159,28.06,77,45,6.32,TK,1722730855
175,haiku-pauwela,20.9219,-156.3051,27.92,75,40,11.32,US,1722731014
176,hereford,52.0568,-2.7148,12.89,87,100,1.69,GB,1722731075
177,port elizabeth,-33.918,25.5701,20.16,21,0,2.57,ZA,1722730689
178,acapulco de juarez,16.8634,-99.8901,29.9,66,100,2.06,MX,1722730875
179,la asuncion,11.0333,-63.8628,28.85,79,86,6.17,VE,1722731006
180,sainte-marie,-20.8968,55.5496,19.09,82,75,0.51,RE,1722731075
181,cabo san lucas,22.8909,-109.9124,35.61,48,20,8.75,MX,1722730935
182,palmer,42.1584,-72.3287,25.75,78,100,0.0,US,1722731076
183,boden,65.8252,21.6886,17.0,95,95,1.44,SE,1722731076
184,udachny,66.4167,112.4,18.95,49,41,3.29,RU,1722730712
185,la foa,-21.7108,165.8276,20.92,51,10,5.75,NC,1722731076
186,roha,18.4333,73.1167,24.92,90,100,4.75,IN,1722731076
187,wailua homesteads,22.0669,-159.378,27.44,74,40,4.63,US,1722730809
188,ankazoabo,-22.2833,44.5167,14.42,66,0,3.34,MG,1722731076
189,padangsidempuan,1.3667,99.2667,21.49,97,100,0.97,ID,1722731077
190,siwa oasis,29.2041,25.5195,28.53,45,0,2.65,EG,1722731077
191,lijiang,26.8688,100.2207,16.15,97,100,0.85,CN,1722731077
192,greenwood,34.1668,-82.1165,26.2,40,0,4.63,US,1722731077
193,dzerzhinskoye,56.8344,95.2283,14.35,80,0,1.82,RU,1722731077
194,villa gesell,-37.2639,-56.973,12.23,64,38,7.12,AR,1722730803
195,livingstonia,-10.606,34.1063,14.23,64,7,1.24,MW,1722731078
196,ribeira grande,38.5167,-28.7,22.1,88,2,1.79,PT,1722730949
197,skovorodino,53.9833,123.9167,17.65,55,100,4.76,RU,1722731078
198,klintsy,52.7602,32.2393,14.81,95,100,2.88,RU,1722731078
199,salalah,17.0151,54.0924,25.05,94,75,1.54,OM,1722731078
200,shalqar,47.8333,59.6,21.85,45,8,3.49,KZ,1722731078
201,tommot,58.9564,126.2925,16.69,75,88,1.73,RU,1722730734
202,susuman,62.7833,148.1667,13.57,43,8,1.76,RU,1722731079
203,batangafo,7.3008,18.2833,20.98,99,100,0.39,CF,1722731079
204,birsk,55.4211,55.5428,12.54,94,31,2.84,RU,1722731079
205,huarmey,-10.0681,-78.1522,17.54,83,25,3.42,PE,1722731079
206,afaahiti,-17.75,-149.2833,25.93,73,80,5.6,PF,1722730755
207,san miguel zapotitlan,25.9333,-109.05,33.93,41,4,5.34,MX,1722731079
208,maisi,43.0395,41.2621,15.77,73,0,2.72,GE,1722731080
209,buala,-8.145,159.5921,27.84,78,100,3.01,SB,1722731080
210,lubango,-14.9172,13.4925,13.92,62,0,3.09,AO,1722731080
211,touros,-5.1989,-35.4608,23.41,79,1,6.51,BR,1722730937
212,jijiang,29.2906,106.2542,30.27,81,99,0.86,CN,1722731080
213,cozumel,20.5083,-86.9458,27.04,89,75,3.09,MX,1722731080
214,talnakh,69.4865,88.3972,14.49,63,71,3.15,RU,1722730695
215,valparaiso,-33.0393,-71.6273,13.33,68,0,3.09,CL,1722731081
216,coahuayana de hidalgo,18.7,-103.6583,27.87,80,100,1.64,MX,1722730789
217,uturoa,-16.7333,-151.4333,24.84,68,76,6.27,PF,1722730774
218,qusmuryn,52.4503,64.6311,17.0,70,65,3.37,KZ,1722731081
219,praia da vitoria,38.7333,-27.0667,23.2,83,0,1.62,PT,1722731081
220,medicine hat,50.0501,-110.6683,31.55,29,75,4.12,CA,1722731082
221,dongola,19.1667,30.4833,28.56,64,72,7.3,SD,1722731082
222,saipan,15.1355,145.701,30.39,74,75,6.17,MP,1722730778
223,ravar,31.2656,56.8055,29.85,17,85,0.78,IR,1722731082
224,cannonvale,-20.2833,148.7,21.99,74,69,6.67,AU,1722731082
225,taytay,14.5678,121.1394,30.02,76,20,1.54,PH,1722731082
226,kapa'a,22.0752,-159.319,28.18,70,40,4.63,US,1722730840
227,katsuura,35.1333,140.3,26.61,77,17,2.04,JP,1722731083
228,tara,56.8944,74.371,14.61,94,100,2.26,RU,1722731083
229,sinabang,2.4803,96.3801,25.27,86,100,2.84,ID,1722730722
230,paracuru,-3.41,-39.0306,26.73,82,10,6.27,BR,1722731083
231,dzhangala,49.2167,50.3333,22.16,38,2,3.26,KZ,1722730848
232,kapuskasing,49.4169,-82.4331,23.05,53,20,3.6,CA,1722731083
